DATETIME;BLOCKID;KIS_NA_39;VII_57;MX_48;MX_56;KIS_NA_42;VII_54;MX_S_48;MX_S_52;MX_52;KIS_NA_45;KIS_NA_51;MIP_45;MIP_49;MIP_52;MIP_plus_48;MIP_plus_51;MX_42;MX_45;MIP_G_42;KIS_42;KIS_NA_48;Price [e/MWh]
06.10.2016 22:00;2016-10-6-22;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;37,78
07.10.2016 2:00;2016-10-7-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;27,35
07.10.2016 6:00;2016-10-7-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;32,92
07.10.2016 10:00;2016-10-7-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;53,67
07.10.2016 14:00;2016-10-7-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;49,31
07.10.2016 18:00;2016-10-7-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;37,62
07.10.2016 22:00;2016-10-7-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;33,17
08.10.2016 2:00;2016-10-8-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27,98
08.10.2016 6:00;2016-10-8-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;28,49
08.10.2016 10:00;2016-10-8-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,73
08.10.2016 14:00;2016-10-8-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,27
08.10.2016 18:00;2016-10-8-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;34,37
08.10.2016 22:00;2016-10-8-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;33,74
09.10.2016 2:00;2016-10-9-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;29,02
09.10.2016 6:00;2016-10-9-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;28,13
09.10.2016 10:00;2016-10-9-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;32,07
09.10.2016 14:00;2016-10-9-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;32,05
09.10.2016 18:00;2016-10-9-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;33,02
09.10.2016 22:00;2016-10-9-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;35,54
10.10.2016 2:00;2016-10-10-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;30,55
10.10.2016 6:00;2016-10-10-6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,76
10.10.2016 10:00;2016-10-10-10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68,22
10.10.2016 14:00;2016-10-10-14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53,38
10.10.2016 18:00;2016-10-10-18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55,74
10.10.2016 22:00;2016-10-10-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,82
11.10.2016 2:00;2016-10-11-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,35
11.10.2016 6:00;2016-10-11-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,23
11.10.2016 10:00;2016-10-11-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,25
11.10.2016 14:00;2016-10-11-14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39
11.10.2016 18:00;2016-10-11-18;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38,48
